Type,Size,Avg_Latency_ms,Throughput_MBs
FIFO,1,0.016,0.05
FIFO,64,0.017,3.6
FIFO,1024,0.018,54.0
FIFO,65536,0.033,1918.0
FIFO,1048576,0.551,1813.0
MSG_QUEUE,1,0.018,0.05
MSG_QUEUE,64,0.018,3.5
MSG_QUEUE,1024,0.017,58.0
MSG_QUEUE,65536,0.08,800.0
MSG_QUEUE,1048576,1.2,850.0
SHM,1,0.005,0.2
SHM,64,0.005,12.0
SHM,1024,0.006,160.0
SHM,65536,0.012,5000.0
SHM,1048576,0.15,6500.0
UNIX_SOCKET,1,0.012,0.08
UNIX_SOCKET,64,0.013,4.5
UNIX_SOCKET,1024,0.014,70.0
UNIX_SOCKET,65536,0.025,2500.0
UNIX_SOCKET,1048576,0.4,2400.0
